qwk,mae,macro_f1,balanced_accuracy,accuracy,exact_or_adjacent,severe_recall,severe_precision,severe_f1,severe_missed,non_severe_progressed,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,severe_roc_auc,severe_pr_auc,severe_brier,log_loss,fold,repeat,model
0.951193,0.2,0.786008,0.779019,0.80625,0.99375,0.90625,0.945652,0.925532,9,5,0.975,0.721519,0.784615,0.808511,0.69697,0.6875,0.986375,0.976613,0.0370897,0.658715,3,1,lightgbm
0.955298,0.203125,0.781762,0.785523,0.796875,1,0.948454,0.884615,0.915423,5,12,0.9375,0.797468,0.671875,0.723404,0.818182,0.764706,0.989044,0.973603,0.0425677,0.648662,4,1,lightgbm
0.944787,0.221875,0.784097,0.768723,0.784375,0.99375,0.875,0.965517,0.918033,12,3,0.901235,0.721519,0.8125,0.708333,0.71875,0.75,0.993722,0.986531,0.0348988,0.670159,0,2,lightgbm
0.953045,0.2,0.822742,0.816388,0.8,1,0.90625,0.90625,0.90625,9,9,0.851852,0.75641,0.769231,0.770833,0.8125,0.9375,0.982329,0.965527,0.0456273,0.623001,1,2,lightgbm
0.945946,0.23125,0.7638,0.762813,0.771875,0.996875,0.927083,0.908163,0.917526,7,9,0.901235,0.717949,0.707692,0.75,0.75,0.75,0.989444,0.981079,0.0359332,0.662572,2,2,lightgbm
0.962135,0.171875,0.808154,0.820277,0.828125,1,0.947917,0.91,0.928571,5,9,0.95,0.835443,0.753846,0.808511,0.636364,0.9375,0.992188,0.980668,0.0310295,0.557559,3,2,lightgbm
0.954172,0.20625,0.792035,0.79641,0.79375,1,0.896907,0.977528,0.935484,10,2,0.9,0.78481,0.765625,0.659574,0.727273,0.941176,0.990662,0.978159,0.0329346,0.716245,4,2,lightgbm
0.952857,0.2,0.780823,0.780219,0.803125,0.996875,0.864583,0.892473,0.878307,13,10,0.91358,0.835443,0.765625,0.666667,0.75,0.75,0.986328,0.971624,0.0481633,0.513505,0,0,stacked
0.963349,0.159375,0.819233,0.812655,0.840625,1,0.96875,0.978947,0.973822,3,2,0.938272,0.871795,0.784615,0.8125,0.71875,0.75,0.996047,0.9919,0.016917,0.452001,1,0,stacked
0.950436,0.221875,0.773147,0.779962,0.778125,1,0.916667,0.916667,0.916667,8,8,0.925926,0.666667,0.753846,0.708333,0.8125,0.8125,0.993583,0.985372,0.0337748,0.537525,2,0,stacked
